"2372","421 UNION AVENUE, New York City, NY,  ","No_Match"
"1040","237 WEST 18 STREET, New York City, NY,  ","Match","Exact","237 W 18TH ST, NEW YORK, NY, 10011","-73.99896,40.741528","642870825","R","36","061","008700","3000"
"2371","14 LEWIS PLACE, New York City, NY,  ","Match","Non_Exact","14 LEWIS ST, NEW YORK, NY, 10002","-73.97944,40.714985","59662822","L","36","061","001001","1007"
"2370","148 ST JAMES PLACE, New York City, NY,  ","Match","Non_Exact","148 JAMES ST, NEW YORK, NY, 10038","-73.99873,40.71209","59653833","L","36","061","002700","1006"
"1039","421 WEST 24 STREET, New York City, NY,  ","Match","Exact","421 W 24TH ST, NEW YORK, NY, 10011","-74.00156,40.747456","642471657","R","36","061","009300","5000"
"1038","346 MANHATTAN AVENUE, New York City, NY,  ","Match","Exact","346 MANHATTAN AVE, NEW YORK, NY, 10026","-73.95758,40.803986","59657648","R","36","061","020102","2001"
"2368","223 13 STREET, New York City, NY,  ","Tie"
"1036","121 EAST BROADWAY, New York City, NY,  ","Match","Non_Exact","121 BROADWAY, NEW YORK, NY, 10006","-74.01098,40.70865","59659635","L","36","061","001300","1011"
"2366","1561 WEST 6 STREET, New York City, NY,  ","No_Match"
"2365","75 BUSHWICK AVENUE, New York City, NY,  ","No_Match"
"-6711","55 3 AVENUE, New York City, NY,  ","Match","Exact","55 3RD AVE, NEW YORK, NY, 10003","-73.988846,40.73099","59653699","R","36","061","004000","3000"
"2386","111 COURT STREET, New York City, NY,  ","No_Match"
"2385","263 74 STREET, New York City, NY,  ","Tie"
"2384","672 45 STREET, New York City, NY,  ","Match","Non_Exact","672 W 45TH ST, NEW YORK, NY, 10036","-73.998344,40.76335","59655028","L","36","061","012900","2003"
"1053","105 LEXINGTON AVENUE, New York City, NY,  ","No_Match"
"1051","159 EAST 102 STREET, New York City, NY,  ","Match","Exact","159 E 102ND ST, NEW YORK, NY, 10029","-73.94789,40.78958","59657929","L","36","061","016600","2000"
"2382","163 BLEECKER STREET, New York City, NY,  ","Match","Exact","163 BLEECKER ST, NEW YORK, NY, 10012","-74.0001,40.728634","59660267","R","36","061","006500","5000"
"1050","312 WEST 53 STREET, New York City, NY,  ","Match","Exact","312 W 53RD ST, NEW YORK, NY, 10019","-73.98526,40.764385","59655238","L","36","061","013300","5001"
"2381","2069 EAST 12 STREET, New York City, NY,  ","No_Match"
"2378","309 GRAND AVENUE, New York City, NY,  ","Match","Non_Exact","309 GRAND ST, NEW YORK, NY, 10002","-73.991554,40.717453","59654015","R","36","061","001600","2000"
"1045","166 WEST 83 STREET, New York City, NY,  ","Match","Exact","166 W 83RD ST, NEW YORK, NY, 10024","-73.97543,40.785305","59656745","L","36","061","016900","4001"
"1066","536 EAST 82 STREET, New York City, NY,  ","Match","Exact","536 E 82ND ST, NEW YORK, NY, 10028","-73.948586,40.77316","650090224","R","36","061","013600","7000"
"2396","624 OCEAN PARKWAY, New York City, NY,  ","No_Match"
"1064","307 EAST 110 STREET, New York City, NY,  ","Match","Exact","307 E 110TH ST, NEW YORK, NY, 10029","-73.94025,40.793064","59658182","L","36","061","018000","2001"
"1063","259 WEST 116 STREET, New York City, NY,  ","Match","Exact","259 W 116TH ST, NEW YORK, NY, 10026","-73.95416,40.803917","59657661","R","36","061","021800","4002"
"2393","108 CENTRAL AVENUE, New York City, NY,  ","No_Match"
"1061","112 9 AVENUE, New York City, NY,  ","Match","Exact","112 9TH AVE, NEW YORK, NY, 10011","-74.00376,40.743134","59659737","R","36","061","008300","1000"
"1059","9 EAST 32 STREET, New York City, NY,  ","Match","Exact","9 E 32ND ST, NEW YORK, NY, 10016","-73.98493,40.74692","650074933","L","36","061","007400","1003"
"1056","169 MANHATTAN AVENUE, New York City, NY,  ","Match","Exact","169 MANHATTAN AVE, NEW YORK, NY, 10025","-73.96073,40.799683","59656926","L","36","061","019300","3000"
"-4155","139 EAST 27 STREET, New York City, NY,  ","Match","Exact","139 E 27TH ST, NEW YORK, NY, 10016","-73.982735,40.74196","59662773","R","36","061","006800","6000"
"11100","906 AVENUE S, New York City, NY,  ","No_Match"
"11101","3001 SHORE PARKWAY, New York City, NY,  ","No_Match"
"-5489","3046 WEST 22 STREET, New York City, NY,  ","No_Match"
"-4157","308 EAST 89 STREET, New York City, NY,  ","Match","Exact","308 E 89TH ST, NEW YORK, NY, 10128","-73.95003,40.77967","650087780","R","36","061","014602","3000"
"11105","1106 PRESIDENT STREET, New York City, NY,  ","No_Match"
"1076","145 ORCHARD STREET, New York City, NY,  ","Match","Exact","145 ORCHARD ST, NEW YORK, NY, 10002","-73.989075,40.7204","59654098","L","36","061","003001","2002"
"1074","122 EAST 13 STREET, New York City, NY,  ","Match","Exact","122 E 13TH ST, NEW YORK, NY, 10003","-73.9888,40.73307","639490753","R","36","061","004200","1001"
"1073","511 WEST 147 STREET, New York City, NY,  ","Match","Exact","511 W 147TH ST, NEW YORK, NY, 10031","-73.94713,40.826733","59655922","R","36","061","023300","3000"
"1071","141 ST NICHOLAS AVENUE, New York City, NY,  ","No_Match"
"1067","84 ELIZABETH STREET, New York City, NY,  ","Match","Exact","84 ELIZABETH ST, NEW YORK, NY, 10013","-73.99594,40.718235","59653976","R","36","061","004100","2001"
"2398","106 AVENUE S, New York City, NY,  ","No_Match"
"11111","1715 UNION STREET, New York City, NY,  ","No_Match"
"-4166","32 WEST 86 STREET, New York City, NY,  ","Match","Exact","32 W 86TH ST, NEW YORK, NY, 10024","-73.97066,40.785847","611186708","L","36","061","016900","1000"
"-5496","266 WASHINGTON AVENUE, New York City, NY,  ","Match","Non_Exact","266 WASHINGTON ST, NEW YORK, NY, 10007","-74.01241,40.71366","59659553","L","36","061","002100","2008"
"11116","262 SOUTH 1 STREET, New York City, NY,  ","No_Match"
"-1902","83 MULBERRY STREET, New York City, NY,  ","Match","Exact","83 MULBERRY ST, NEW YORK, NY, 10013","-73.99901,40.71644","59653811","L","36","061","002900","2001"
"1087","305 CONVENT AVENUE, New York City, NY,  ","Match","Exact","305 CONVENT AVE, NEW YORK, NY, 10031","-73.94737,40.82307","59655974","R","36","061","022700","2001"
"1085","72 BAYARD STREET, New York City, NY,  ","Match","Exact","72 BAYARD ST, NEW YORK, NY, 10013","-73.99835,40.71559","59653814","R","36","061","002900","3001"
"-1908","116 JOHN STREET, New York City, NY,  ","Match","Exact","116 JOHN ST, NEW YORK, NY, 10038","-74.00584,40.707714","59660480","R","36","061","001502","2006"
"-1907","78 BAYARD STREET, New York City, NY,  ","Match","Exact","78 BAYARD ST, NEW YORK, NY, 10013","-73.99864,40.71569","59653810","R","36","061","002900","2002"
"1081","799 8 AVENUE, New York City, NY,  ","Match","Exact","799 8TH AVE, NEW YORK, NY, 10019","-73.98685,40.76128","642471748","L","36","061","012700","1000"
"-4170","128 EAST 85 STREET, New York City, NY,  ","Match","Exact","128 E 85TH ST, NEW YORK, NY, 10028","-73.95671,40.77907","59658257","R","36","061","014801","1001"
"-4173","340 EAST 62 STREET, New York City, NY,  ","Match","Exact","340 E 62ND ST, NEW YORK, NY, 10065","-73.961685,40.761936","59657552","R","36","061","011000","6000"
"1079","327 EAST 14 STREET, New York City, NY,  ","Match","Exact","327 E 14TH ST, NEW YORK, NY, 10003","-73.98422,40.732056","59653731","L","36","061","004800","5002"
"1091","1213 YORK AVENUE, New York City, NY,  ","Match","Exact","1213 YORK AVE, NEW YORK, NY, 10065","-73.95679,40.762695","59658438","L","36","061","011600","2000"
"1090","312 MANHATTAN AVENUE, New York City, NY,  ","Match","Exact","312 MANHATTAN AVE, NEW YORK, NY, 10026","-73.958206,40.803154","59657650","R","36","061","019702","1000"
"1097","79 EAST 125 STREET, New York City, NY,  ","Match","Exact","79 E 125TH ST, NEW YORK, NY, 10035","-73.939705,40.805347","59658010","L","36","061","019800","1000"
"-4184","434 EAST 118 STREET, New York City, NY,  ","Match","Exact","434 E 118TH ST, NEW YORK, NY, 10035","-73.933624,40.79695","59658150","R","36","061","017800","1001"
"-4185","324 WEST 125 STREET, New York City, NY,  ","Match","Exact","324 W 125TH ST, NEW YORK, NY, 10027","-73.952,40.810513","59661830","L","36","061","025700","1001"
"9803","680 FT WASHINGTON AVENUE, New York City, NY,  ","Match","Non_Exact","680 WASHINGTON ST, NEW YORK, NY, 10014","-74.00851,40.733994","59659854","L","36","061","007500","1003"
"9808","210 EAST 10 STREET, New York City, NY,  ","Match","Exact","210 E 10TH ST, NEW YORK, NY, 10003","-73.986176,40.729504","59654048","R","36","061","004000","4000"
"9814","886 10 AVENUE, New York City, NY,  ","No_Match"
"-5442","4219 12 AVENUE, New York City, NY,  ","No_Match"
"-4112","510 WEST 150 STREET, New York City, NY,  ","Match","Exact","510 W 150TH ST, NEW YORK, NY, 10031","-73.94577,40.828594","59655932","L","36","061","023300","2000"
"9812","629 WEST 135 STREET, New York City, NY,  ","Match","Exact","629 W 135TH ST, NEW YORK, NY, 10031","-73.95584,40.820435","650070906","R","36","061","022301","4000"
"-5441","404 8 AVENUE, New York City, NY,  ","Match","Exact","404 8TH AVE, NEW YORK, NY, 10001","-73.99523,40.74975","59653375","R","36","061","010100","1005"
"-4110","884 2 AVENUE, New York City, NY,  ","Match","Exact","884 2ND AVE, NEW YORK, NY, 10017","-73.96984,40.753048","59658718","R","36","061","009000","3000"
"9819","142 EAST 27 STREET, New York City, NY,  ","Match","Exact","142 E 27TH ST, NEW YORK, NY, 10016","-73.98252,40.741856","59662773","L","36","061","006800","6001"
"-4116","240 EAST 2 STREET, New York City, NY,  ","Match","Exact","240 E 2ND ST, NEW YORK, NY, 10009","-73.98189,40.72137","59654734","L","36","061","002202","1001"
"-5445","5301 5 AVENUE, New York City, NY,  ","No_Match"
"9832","337 EAST 90 STREET, New York City, NY,  ","Match","Exact","337 E 90TH ST, NEW YORK, NY, 10128","-73.94899,40.78007","650087777","L","36","061","015400","5000"
"9830","609 WEST 151 STREET, New York City, NY,  ","Match","Exact","609 W 151ST ST, NEW YORK, NY, 10031","-73.947945,40.830338","59655906","R","36","061","023700","2000"
"204","20 5 AVENUE, New York City, NY,  ","No_Match"
"-505","475 KENT AVENUE, New York City, NY,  ","No_Match"
