"3676","567 FLUSHING AVENUE, New York City, NY,  ","No_Match"
"-10434","102 AVENUE S, New York City, NY,  ","No_Match"
"-10433","372 ST JOHNS PLACE, New York City, NY,  ","No_Match"
"3679","1230 AVENUE Y, New York City, NY,  ","No_Match"
"-11768","60 WEST 10 STREET, New York City, NY,  ","Match","Exact","60 W 10TH ST, NEW YORK, NY, 10011","-73.99742,40.734238","650084349","L","36","061","006300","3000"
"-17081","231 LEXINGTON AVENUE, New York City, NY,  ","No_Match"
"1031","387 FRANKLIN AVENUE, New York City, NY,  ","No_Match"
"1030","716 OCEAN PARKWAY, New York City, NY,  ","No_Match"
"2360","48 ST NICHOLAS PLACE, New York City, NY,  ","Match","Exact","48 ST NICHOLAS PL, NEW YORK, NY, 10031","-73.941315,40.82875","650079845","R","36","061","023501","2002"
"-11770","343 EAST 5 STREET, New York City, NY,  ","No_Match"
"1029","301 ORIENTAL BOULEVARD, New York City, NY,  ","No_Match"
"2359","127 EAST 117 STREET, New York City, NY,  ","Match","Exact","127 E 117TH ST, NEW YORK, NY, 10035","-73.94173,40.79956","59658041","L","36","061","018200","2001"
"1027","55 BAY 34 STREET, New York City, NY,  ","Tie"
"-10443","233 LINDEN BOULEVARD, New York City, NY,  ","No_Match"
"-11773","574 AMSTERDAM AVENUE, New York City, NY,  ","No_Match"
"-10442","414 53 STREET, New York City, NY,  ","Tie"
"-10441","805 AVENUE O, New York City, NY,  ","No_Match"
"1023","227 TAAFFE PLACE, New York City, NY,  ","No_Match"
"-11771","602 WEST 116 STREET, New York City, NY,  ","Match","Exact","602 W 116TH ST, NEW YORK, NY, 10027","-73.96445,40.808243","639467109","L","36","061","020500","2000"
"-10440","466 87 STREET, New York City, NY,  ","Match","Non_Exact","466 E 87TH ST, NEW YORK, NY, 10128","-73.94743,40.776936","59658365","R","36","061","014402","1000"
"3685","952 42 STREET, New York City, NY,  ","No_Match"
"-10447","909 EAST 5 STREET, New York City, NY,  ","No_Match"
"-10446","972 63 STREET, New York City, NY,  ","No_Match"
"3687","543 OCEAN AVENUE, New York City, NY,  ","No_Match"
"-14800","115 EAST 82 STREET, New York City, NY,  ","Match","Exact","115 E 82ND ST, NEW YORK, NY, 10028","-73.9585,40.77735","59657356","L","36","061","014000","6001"
"-10449","875 43 STREET, New York City, NY,  ","No_Match"
"-10448","78 WEBSTER AVENUE, New York City, NY,  ","No_Match"
"1044","1037 FULTON STREET, New York City, NY,  ","No_Match"
"1043","107 VAN BUREN STREET, New York City, NY,  ","No_Match"
"1040","1354 BEDFORD AVENUE, New York City, NY,  ","No_Match"
"2370","62 WEST 124 STREET, New York City, NY,  ","Match","Exact","62 W 124TH ST, NEW YORK, NY, 10027","-73.94532,40.806816","59656199","L","36","061","020000","2002"
"-17097","220 WEST 21 STREET, New York City, NY,  ","Match","Exact","220 W 21ST ST, NEW YORK, NY, 10011","-73.9973,40.743107","59653309","L","36","061","008700","5000"
"-17094","305 WEST 13 STREET, New York City, NY,  ","Match","Exact","305 W 13TH ST, NEW YORK, NY, 10014","-74.0033,40.73918","59659829","R","36","061","007700","3000"
"-11781","98 RIVERSIDE DRIVE, New York City, NY,  ","Match","Exact","98 RIVERSIDE DR, NEW YORK, NY, 10024","-73.981224,40.786858","59656629","R","36","061","016700","1000"
"-11780","41 PARK AVENUE, New York City, NY,  ","Match","Non_Exact","41 PARK ROW, NEW YORK, NY, 10038","-74.0067,40.711742","640780155","R","36","061","001501","1003"
"1039","1014 55 STREET, New York City, NY,  ","No_Match"
"1038","4121 7 AVENUE, New York City, NY,  ","No_Match"
"2368","10 WEST 138 STREET, New York City, NY,  ","Match","Non_Exact","10 E 138TH ST, NEW YORK, NY, 10037","-73.935745,40.814457","640851562","R","36","061","021000","2003"
"-10454","658 MONTGOMERY STREET, New York City, NY,  ","No_Match"
"-11784","145 WEST 71 STREET, New York City, NY,  ","Match","Exact","145 W 71ST ST, NEW YORK, NY, 10023","-73.98053,40.777264","59655117","L","36","061","015700","7000"
"-10453","197 KANE STREET, New York City, NY,  ","No_Match"
"1035","215 MONROE STREET, New York City, NY,  ","No_Match"
"-10452","360 BAY RIDGE PARKWAY, New York City, NY,  ","No_Match"
"1034","149 BRIGHTON 11 STREET, New York City, NY,  ","No_Match"
"2365","50 NORFOLK STREET, New York City, NY,  ","Match","Exact","50 NORFOLK ST, NEW YORK, NY, 10002","-73.98811,40.716927","59654125","R","36","061","001402","1005"
"-11782","509 CATHEDRAL PARKWAY, New York City, NY,  ","Match","Exact","509 CATHEDRAL PKWY, NEW YORK, NY, 10025","-73.96473,40.803345","611176170","R","36","061","019900","6001"
"-10451","570 EAST 2 STREET, New York City, NY,  ","No_Match"
"-14816","1482 3 AVENUE, New York City, NY,  ","No_Match"
"-14815","114 WEST 16 STREET, New York City, NY,  ","Match","Exact","114 W 16TH ST, NEW YORK, NY, 10011","-73.996445,40.738922","59653323","L","36","061","008100","3000"
