"-14830","365 WEST END AVENUE, New York City, NY,  ","Match","Exact","365 W END AVE, NEW YORK, NY, 10024","-73.98198,40.78324","59656643","L","36","061","016300","1005"
"-14861","307 EAST 50 STREET, New York City, NY,  ","Match","Exact","307 E 50TH ST, NEW YORK, NY, 10022","-73.96821,40.75475","59658723","L","36","061","009800","7000"
"1001","132-49 41 ROAD, New York City, NY,  ","No_Match"
"-14860","443 3 AVENUE, New York City, NY,  ","Match","Exact","443 3RD AVE, NEW YORK, NY, 10016","-73.97967,40.7436","59654445","R","36","061","007000","2001"
"-13530","211 CLINTON STREET, New York City, NY,  ","Match","Exact","211 CLINTON ST, NEW YORK, NY, 10002","-73.98713,40.71404","59654296","R","36","061","000600","3000"
"-13539","1974 51 STREET, New York City, NY,  ","No_Match"
"-13535","9915 SEAVIEW AVENUE, New York City, NY,  ","No_Match"
"-14866","339 EAST 28 STREET, New York City, NY,  ","Match","Exact","339 E 28TH ST, NEW YORK, NY, 10016","-73.97688,40.74028","59654570","L","36","061","006600","9000"
"-13536","7701 BAY PARKWAY, New York City, NY,  ","No_Match"
"-14869","519 EAST 76 STREET, New York City, NY,  ","Match","Exact","519 E 76TH ST, NEW YORK, NY, 10021","-73.95127,40.769203","639484776","L","36","061","013200","6000"
"-13537","152 5 AVENUE, New York City, NY,  ","Match","Exact","152 5TH AVE, NEW YORK, NY, 10010","-73.990944,40.739693","634256891","L","36","061","005400","1001"
"1009","27-28 THOMSON AVENUE, New York City, NY,  ","No_Match"
"1022","40-53 62 STREET, New York City, NY,  ","Tie"
"1021","40-24 76 STREET, New York City, NY,  ","Tie"
"1020","106-19 50 AVENUE, New York City, NY,  ","No_Match"
"-17076","101 MAC DOUGAL STREET, New York City, NY,  ","Match","Exact","101 MAC DOUGAL ST, NEW YORK, NY, 10011","-73.9986,40.73225","59653357","L","36","061","006300","5001"
"-17074","530 EAST 73 STREET, New York City, NY,  ","Match","Exact","530 E 73RD ST, NEW YORK, NY, 10021","-73.952515,40.767212","650078827","R","36","061","012400","6000"
"-17075","147 WEST 143 STREET, New York City, NY,  ","Match","Exact","147 W 143RD ST, NEW YORK, NY, 10030","-73.93852,40.819717","59656319","R","36","061","023200","2000"
"1019","43-21 UNION STREET, New York City, NY,  ","No_Match"
"1018","178-36 WEXFORD TERRACE, New York City, NY,  ","No_Match"
"1017","35-38 JUNCTION BOULEVARD, New York City, NY,  ","No_Match"
"1016","49-07 43 AVENUE, New York City, NY,  ","No_Match"
"1015","109-18 LEFFERTS BOULEVARD, New York City, NY,  ","No_Match"
"1014","100-04 SHORE FRONT PARKWAY, New York City, NY,  ","No_Match"
"1013","42-11 PARSONS BOULEVARD, New York City, NY,  ","No_Match"
"1012","13-15 JACKSON AVENUE, New York City, NY,  ","Match","Non_Exact","13 JACKSON ST, NEW YORK, NY, 10002","-73.98083,40.713245","650085111","R","36","061","000202","4000"
"-17081","160 RIVERSIDE BOULEVARD, New York City, NY,  ","Match","Exact","160 RIVERSIDE BLVD, NEW YORK, NY, 10069","-73.98887,40.777534","59665041","R","36","061","015500","2000"
"-17082","353 EAST 83 STREET, New York City, NY,  ","Match","Exact","353 E 83RD ST, NEW YORK, NY, 10028","-73.951935,40.775414","650077879","L","36","061","013800","6000"
"-17080","229 EAST 13 STREET, New York City, NY,  ","Match","Exact","229 E 13TH ST, NEW YORK, NY, 10003","-73.98696,40.732307","59653704","L","36","061","004000","1000"
"-14808","160 WEST 22 STREET, New York City, NY,  ","Match","Exact","160 W 22ND ST, NEW YORK, NY, 10011","-73.99498,40.742943","59653399","L","36","061","008700","1000"
"1033","143-41 84 DRIVE, New York City, NY,  ","No_Match"
"-17089","420 EAST 80 STREET, New York City, NY,  ","Match","Exact","420 E 80TH ST, NEW YORK, NY, 10075","-73.95146,40.77271","650152686","R","36","061","013600","4001"
"1032","79-39 CALAMUS AVENUE, New York City, NY,  ","No_Match"
"1031","44-27 PURVIS STREET, New York City, NY,  ","No_Match"
"-17087","105 LEXINGTON AVENUE, New York City, NY,  ","Match","Exact","105 LEXINGTON AVE, NEW YORK, NY, 10016","-73.98273,40.742268","59654538","R","36","061","006800","6000"
"1030","140-24 31 DRIVE, New York City, NY,  ","No_Match"
"-17083","25 WEST 81 STREET, New York City, NY,  ","Match","Exact","25 W 81ST ST, NEW YORK, NY, 10024","-73.97253,40.782375","59656758","R","36","061","016500","1000"
"-17084","68 WEST 10 STREET, New York City, NY,  ","Match","Exact","68 W 10TH ST, NEW YORK, NY, 10011","-73.99765,40.734333","650084349","L","36","061","006300","3000"
"1029","132-37 POPLE AVENUE, New York City, NY,  ","No_Match"
"1028","42-51 HUNTER STREET, New York City, NY,  ","No_Match"
"1027","13353 37 AVENUE, New York City, NY,  ","No_Match"
"1026","140-14 CHERRY AVENUE, New York City, NY,  ","Match","Non_Exact","140 CHERRY ST, NEW YORK, NY, 10002","-73.99499,40.710434","608683346","L","36","061","000800","5000"
"1025","132-41 41 ROAD, New York City, NY,  ","No_Match"
"1024","12-14 31 AVENUE, New York City, NY,  ","No_Match"
"1023","89-14 PARSONS BOULEVARD, New York City, NY,  ","No_Match"
"-14805","110 WEST 69 STREET, New York City, NY,  ","Match","Exact","110 W 69TH ST, NEW YORK, NY, 10023","-73.98053,40.77561","59657007","L","36","061","015300","2000"
