"","uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
"2883",2509475,"Chicago","26A","false pretenses/swindle/confidence game","fraud offenses (except counterfeiting/forgery and bad checks)","property",2009-06-02 16:55:00,-87.726422,41.885488,"rapid transit","transportation","170312602001010",NA,NA
"2884",2509579,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-02 18:30:00,-87.657757,41.974127,"street","street","170310312003007",NA,NA
"2885",2509793,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-02 21:57:00,-87.672871,41.785962,"street","street","170316706001013",NA,NA
"2886",2509795,"Chicago","13B","simple assault","assault offenses","persons",2009-06-02 22:00:00,-87.686843,41.762043,"residence","residence","170316610004017",NA,NA
"2887",2509798,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-02 22:00:00,-87.686035,41.820535,"street","street","170315807002023",NA,NA
"2888",2509884,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-02 23:28:00,-87.72378,41.899947,"street","street","170312312004014",NA,NA
"2889",2509898,"Chicago","13B","simple assault","assault offenses","persons",2009-06-02 23:48:00,-87.620365,41.673153,"residence","residence","170315306002003",NA,NA
"2890",2509934,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-03 00:05:00,-87.733718,41.865556,"residence","residence","170312909004012",NA,NA
"2891",2510046,"Chicago","13B","simple assault","assault offenses","persons",2009-06-03 06:43:00,-87.600753,41.742181,"residence","residence","170314401021012",NA,NA
"2892",2510139,"Chicago","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property",2009-06-03 09:00:00,-87.668924,41.867672,"other","other","170318382002043",NA,NA
"2893",2510245,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-03 11:15:00,-87.693293,41.909073,"residence","residence","170312410001008",NA,NA
"2894",2510299,"Chicago","23D","theft from building","larceny/theft offenses","property",2009-06-03 12:00:00,-87.62249,41.795587,"residence","residence","170314003001011",NA,NA
"2895",2510410,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-03 13:39:00,-87.723756,41.812388,"vehicle parking","open space","170315702001028",NA,NA
"2896",2510485,"Chicago","13B","simple assault","assault offenses","persons",2009-06-03 15:00:00,-87.734419,41.80144,"vehicle parking","open space","170315703004025",NA,NA
"2897",2510542,"Chicago","23D","theft from building","larceny/theft offenses","property",2009-06-03 15:30:00,-87.67057,41.775748,"other","other","170316713001025",NA,NA
"2898",2510557,"Chicago","13B","simple assault","assault offenses","persons",2009-06-03 16:00:00,-87.726108,41.924492,"bus","transportation","170312207022019",NA,NA
"2899",2510796,"Chicago","13B","simple assault","assault offenses","persons",2009-06-03 20:10:00,-87.727272,41.85575,"residence","residence","170312925001015",NA,NA
"2900",2511005,"Chicago","13A","aggravated assault","assault offenses","persons",2009-06-03 23:30:00,-87.731674,41.878797,"street","street","170312606001007",NA,NA
"2901",2511107,"Chicago","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property",2009-06-04 01:00:00,-87.628577,41.889245,"bar/club","leisure","170310816001009",NA,NA
"2902",2511378,"Chicago","280","stolen property offenses","stolen property offenses","property",2009-06-04 11:25:00,-87.652311,41.925398,"rapid transit","transportation","170310703002015",NA,NA
"2903",2511437,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-04 12:20:00,-87.758524,41.921347,"street","street","170311912001014",NA,NA
"2904",2511591,"Chicago","23C","shoplifting","larceny/theft offenses","property",2009-06-04 15:00:00,-87.671696,41.903278,"other","other","170312414003018",NA,NA
"2905",2511786,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-04 18:33:00,-87.696909,41.904129,"street","street","170312426001007",NA,NA
"2906",2511807,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-04 18:57:00,-87.736181,41.91215,"other retail","retail","170312305002004",NA,NA
"2907",2511821,"Chicago","13B","simple assault","assault offenses","persons",2009-06-04 19:00:00,-87.662649,41.779498,"residence","residence","170316708002024",NA,NA
"2908",2512024,"Chicago","90J","trespass of real property","trespass of real property","society",2009-06-04 22:25:00,-87.640638,41.898471,"vehicle parking","open space","170310819001007",NA,NA
"2909",2512486,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property",2009-06-05 11:10:00,-87.554052,41.731358,"residence","residence","170318339002018",NA,NA
"2910",2512616,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-05 13:15:00,-87.751013,41.887865,"street","street","170312518002000",NA,NA
"2911",2512734,"Chicago","13B","simple assault","assault offenses","persons",2009-06-05 15:05:00,-87.562414,41.740421,"street","street","170314604004002",NA,NA
"2912",2512974,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-05 19:00:00,-87.585863,41.763848,"other retail","retail","170314305003008",NA,NA
"2913",2513075,"Chicago","90J","trespass of real property","trespass of real property","society",2009-06-05 20:44:00,-87.706454,41.793472,"other","other","170316303002034",NA,NA
"2914",2513250,"Chicago","13B","simple assault","assault offenses","persons",2009-06-05 23:30:00,-87.527038,41.693171,"residence","residence","170315205002042",NA,NA
"2915",2513645,"Chicago","13B","simple assault","assault offenses","persons",2009-06-06 10:02:00,-87.689792,41.99492,"other retail","retail","170310208024007",NA,NA
"2916",2513710,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-06 12:00:00,-87.66294,41.963496,"residence","residence","170310317004003",NA,NA
"2917",2513847,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-06 14:55:00,-87.635658,41.683344,"residence","residence","170315302004039",NA,NA
"2918",2513867,"Chicago","13A","aggravated assault","assault offenses","persons",2009-06-06 15:05:00,-87.674846,41.903796,"street","street","170312414004012",NA,NA
"2919",2513972,"Chicago","13B","simple assault","assault offenses","persons",2009-06-06 17:30:00,-87.634231,41.748134,"street","street","170318424003021",NA,NA
"2920",2514135,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-06 21:00:00,-87.674718,41.718287,"street","street","170317203002017",NA,NA
"2921",2514140,"Chicago","23D","theft from building","larceny/theft offenses","property",2009-06-06 21:00:00,-87.59181,41.740453,"entertainment","leisure","170318343005008",NA,NA
"2922",2514327,"Chicago","13B","simple assault","assault offenses","persons",2009-06-07 00:10:00,-87.722567,41.771113,"gas station","retail","170316504005002",NA,NA
"2923",2514433,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-07 02:40:00,-87.790828,41.783031,"other","other","170316404002022",NA,NA
"2924",2514570,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-07 07:00:00,-87.701548,41.850883,"street","street","170313009001001",NA,NA
"2925",2514743,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-07 13:00:00,-87.64135,41.853192,"street","street","170318432002014",NA,NA
"2926",2514992,"Chicago","13A","aggravated assault","assault offenses","persons",2009-06-07 18:40:00,-87.651961,41.775384,"street","street","170316810001013",NA,NA
"2927",2515035,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-07 19:22:00,-87.596772,41.655367,"street","street","170315401013006",NA,NA
"2928",2515102,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-07 20:30:00,-87.634274,41.914815,"street","street","170310715002000",NA,NA
"2929",2515423,"Chicago","13B","simple assault","assault offenses","persons",2009-06-08 03:30:00,-87.611408,41.75597,"residence","residence","170316914004011",NA,NA
"2930",2515556,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property",2009-06-08 09:00:00,-87.665117,41.90571,"residence","residence","170312416002002",NA,NA
"2931",2515590,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property",2009-06-08 09:33:00,-87.741349,41.878087,"residence","residence","170312522021011",NA,NA
"2932",2515643,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-08 11:00:00,-87.789988,41.923638,"vehicle parking","open space","170318315002010",NA,NA
"2933",2515699,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-08 12:15:00,-87.726422,41.885488,"rapid transit","transportation","170312602001010",NA,NA
"2934",2515810,"Chicago","13A","aggravated assault","assault offenses","persons",2009-06-08 14:17:00,-87.683628,41.778729,"convenience store","retail","170316606001008",NA,NA
"2935",2516017,"Chicago","13B","simple assault","assault offenses","persons",2009-06-08 17:40:00,-87.710383,41.906436,"residence","residence","170312309001023",NA,NA
"2936",2516077,"Chicago","12A","personal robbery","robbery","property",2009-06-08 18:30:00,-87.643769,41.801612,"vehicle parking","open space","170318438002007",NA,NA
"2937",2516159,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-08 20:00:00,-87.62822,41.664472,"street","street","170315305021040",NA,NA
"2938",2516191,"Chicago","23C","shoplifting","larceny/theft offenses","property",2009-06-08 20:12:00,-87.649432,41.925922,"healthcare","healthcare","170310703002013",NA,NA
"2939",2516205,"Chicago","240","motor vehicle theft","motor vehicle theft","property",2009-06-08 20:30:00,-87.687612,41.96715,"street","street","170310406003011",NA,NA
"2940",2516221,"Chicago","13B","simple assault","assault offenses","persons",2009-06-08 20:50:00,-87.773238,41.922501,"residence","residence","170311913021006",NA,NA
"2941",2516225,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-08 20:56:00,-87.700385,41.914867,"street","street","170312225001011",NA,NA
"2942",2516374,"Chicago","13A","aggravated assault","assault offenses","persons",2009-06-08 22:50:00,-87.708392,41.791079,"street","street","170316309003009",NA,NA
"2943",2516431,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-08 23:35:00,-87.717034,41.893618,"street","street","170312315004003",NA,NA
"2944",2516696,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-09 09:05:00,-87.602135,41.8222,"street","street","170318364002004",NA,NA
"2945",2516727,"Chicago","13B","simple assault","assault offenses","persons",2009-06-09 10:00:00,-87.604647,41.710833,"residence","residence","170315001004031",NA,NA
"2946",2516795,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-09 11:30:00,-87.64403,41.750185,"street","street","170317109001005",NA,NA
"2947",2516871,"Chicago","13B","simple assault","assault offenses","persons",2009-06-09 12:36:00,-87.649108,41.758954,"school","education","170316814003012",NA,NA
"2948",2516912,"Chicago","12A","personal robbery","robbery","property",2009-06-09 13:30:00,-87.710701,41.764268,"green space","open space","170316609003011",NA,NA
"2949",2517047,"Chicago","23C","shoplifting","larceny/theft offenses","property",2009-06-09 15:30:00,-87.662498,41.67852,"other retail","retail","170317505004003",NA,NA
"2950",2517104,"Chicago","13B","simple assault","assault offenses","persons",2009-06-09 16:25:00,-87.603922,41.810836,"residence","residence","170313903002017",NA,NA
"2951",2517269,"Chicago","90Z","all other offenses","all other offenses","other",2009-06-09 19:24:00,-87.53649,41.689392,"residence","residence","170315206001046",NA,NA
"2952",2517853,"Chicago","13A","aggravated assault","assault offenses","persons",2009-06-10 10:30:00,-87.631031,41.690676,"residence","residence","170314913004006",NA,NA
"2953",2517942,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-10 12:00:00,-87.721963,41.965576,"residence","residence","170311406023007",NA,NA
"2954",2518038,"Chicago","13B","simple assault","assault offenses","persons",2009-06-10 13:30:00,-87.726602,41.870008,"school","education","170312610002028",NA,NA
"2955",2518094,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-10 14:19:00,-87.723762,41.812536,"office","commercial","170315702001028",NA,NA
"2956",2518146,"Chicago","13A","aggravated assault","assault offenses","persons",2009-06-10 15:05:00,-87.74917,41.873709,"school","education","170312522025010",NA,NA
"2957",2518258,"Chicago","23C","shoplifting","larceny/theft offenses","property",2009-06-10 17:00:00,-87.785548,41.926287,"supermarket","retail","170318315001045",NA,NA
"2958",2518259,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-10 17:00:00,-87.549073,41.738542,"residence","residence","170314602002008",NA,NA
"2959",2518270,"Chicago","13B","simple assault","assault offenses","persons",2009-06-10 17:10:00,-87.736272,41.781227,"residence","residence","170316502006004",NA,NA
"2960",2518297,"Chicago","13B","simple assault","assault offenses","persons",2009-06-10 17:45:00,-87.751949,41.895633,"residence","residence","170312511003011",NA,NA
"2961",2518363,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-10 19:00:00,-87.589929,41.772387,"residence","residence","170314303001006",NA,NA
"2962",2518579,"Chicago","90Z","all other offenses","all other offenses","other",2009-06-10 22:00:00,-87.686837,41.761875,"residence","residence","170316610003005",NA,NA
"2963",2518604,"Chicago","13A","aggravated assault","assault offenses","persons",2009-06-10 22:10:00,-87.713929,41.917317,"street","street","170312210002015",NA,NA
"2964",2518715,"Chicago","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property",2009-06-11 00:01:00,-87.704019,41.809205,"finance","commercial","170315804003000",NA,NA
"2965",2518770,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-11 01:51:00,-87.659133,41.80504,"rapid transit","transportation","170316111003006",NA,NA
"2966",2518798,"Chicago","13B","simple assault","assault offenses","persons",2009-06-11 02:54:00,-87.649451,41.946144,"street","street","170318320001000",NA,NA
"2967",2518834,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property",2009-06-11 04:48:00,-87.569849,41.76908,"residence","residence","170314301023002",NA,NA
"2968",2518839,"Chicago","40A","prostitution","prostitution offenses","society",2009-06-11 05:10:00,-87.720547,41.903832,"street","street","170312307002009",NA,NA
"2969",2518967,"Chicago","26A","false pretenses/swindle/confidence game","fraud offenses (except counterfeiting/forgery and bad checks)","property",2009-06-11 10:00:00,-87.803581,41.974571,"residence","residence","170311007005001",NA,NA
"2970",2519027,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-11 12:00:00,-87.76504,41.885197,"private vehicle","vehicle","170312520001008",NA,NA
"2971",2519058,"Chicago","90J","trespass of real property","trespass of real property","society",2009-06-11 12:10:00,-87.589742,41.7733,"other","other","170318439002015",NA,NA
"2972",2519123,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-11 13:30:00,-87.633209,41.878124,"street","street","170318391001099",NA,NA
