,address,City,State,Zip
1143,697 WEST END AVENUE,New York City,NY, 
1146,131 EAST 45 STREET,New York City,NY, 
1153,163 EAST 99 STREET,New York City,NY, 
1161,249 WEST 144 STREET,New York City,NY, 
1171,31 EAST 127 STREET,New York City,NY, 
1172,274 WEST 115 STREET,New York City,NY, 
1176,204 WEST 111 STREET,New York City,NY, 
1179,346 EAST 62 STREET,New York City,NY, 
1185,3643 BROADWAY,New York City,NY, 
1187,273 WEST 113 STREET,New York City,NY, 
1188,151 BLEECKER STREET,New York City,NY, 
1189,101 CHARLES STREET,New York City,NY, 
1190,361 LENOX AVENUE,New York City,NY, 
1195,1880 ADAM C POWELL BOULEV,New York City,NY, 
1196,1680 YORK AVENUE,New York City,NY, 
1198,777 WEST END AVENUE,New York City,NY, 
1199,614 10 AVENUE,New York City,NY, 
1200,225 EAST 35 STREET,New York City,NY, 
1204,17 WEST 125 STREET,New York City,NY, 
1215,2319 1 AVENUE,New York City,NY, 
1216,243 WEST 116 STREET,New York City,NY, 
1220,240 EAST 89 STREET,New York City,NY, 
1223,135 3 AVENUE,New York City,NY, 
1231,223 EAST 6 STREET,New York City,NY, 
1232,1469 LEXINGTON AVENUE,New York City,NY, 
1235,260 RIVERSIDE DRIVE,New York City,NY, 
1236,404 WEST 44 STREET,New York City,NY, 
1238,192 EAST 75 STREET,New York City,NY, 
1241,231 EAST 14 STREET,New York City,NY, 
1247,224 EAST 70 STREET,New York City,NY, 
1248,530 EAST 73 STREET,New York City,NY, 
1251,113 EAST 102 STREET,New York City,NY, 
1253,260 WEST 72 STREET,New York City,NY, 
1254,105 EAST 10 STREET,New York City,NY, 
1264,513 WEST 150 STREET,New York City,NY, 
1269,209 EAST 116 STREET,New York City,NY, 
1270,232 WEST 122 STREET,New York City,NY, 
1271,206 ST NICHOLAS AVENUE,New York City,NY, 
1272,610 WEST 143 STREET,New York City,NY, 
1273,614 WEST 157 STREET,New York City,NY, 
1275,95 WALL STREET,New York City,NY, 
1287,327 ST NICHOLAS AVENUE,New York City,NY, 
1292,635 EAST 9 STREET,New York City,NY, 
1295,474 9 AVENUE,New York City,NY, 
1297,280 LENOX AVENUE,New York City,NY, 
1300,120 WEST 21 STREET,New York City,NY, 
1304,573 WEST 161 STREET,New York City,NY, 
1306,2401 2 AVENUE,New York City,NY, 
1307,9 ALLEN STREET,New York City,NY, 
1310,327 EAST 108 STREET,New York City,NY, 
1312,205 EAST 82 STREET,New York City,NY, 
1315,644 WEST 204 STREET,New York City,NY, 
1318,611 WEST 148 STREET,New York City,NY, 
1319,617 WEST 144 STREET,New York City,NY, 
1322,215 EAST 117 STREET,New York City,NY, 
1333,2620 FREDRICK DOUGLASS BL,New York City,NY, 
1335,539 LENOX AVENUE,New York City,NY, 
1339,91 BAXTER STREET,New York City,NY, 
1344,541 WEST 49 STREET,New York City,NY, 
1348,231 EAST 58 STREET,New York City,NY, 
1350,132 THOMPSON STREET,New York City,NY, 
1352,1679 3 AVENUE,New York City,NY, 
1354,124 MOTT STREET,New York City,NY, 
1355,638 WEST 160 STREET,New York City,NY, 
1360,171 LEXINGTON AVENUE,New York City,NY, 
1363,37 WALL STREET,New York City,NY, 
1364,455 EAST 116 STREET,New York City,NY, 
1372,69 WEST 107 STREET,New York City,NY, 
1374,21 1 AVENUE,New York City,NY, 
1375,48 STUYVESANT STREET,New York City,NY, 
1390,168 EAST 112 STREET,New York City,NY, 
1392,127 HENRY STREET,New York City,NY, 
1398,417 EAST 89 STREET,New York City,NY, 
1403,208 WEST 82 STREET,New York City,NY, 
1410,233 EAST 111 STREET,New York City,NY, 
1415,2103 8 AVENUE,New York City,NY, 
1418,166 EAST 118 STREET,New York City,NY, 
1426,558 BROOME STREET,New York City,NY, 
1434,50 WEST 132 STREET,New York City,NY, 
1437,590 AMSTERDAM AVENUE,New York City,NY, 
1439,2467 FREDRICK DOUGLASS BL,New York City,NY, 
1442,156 WEST 44 STREET,New York City,NY, 
1444,2275 ADAM C. POWELL BOULE,New York City,NY, 
1445,205 EAST 118 STREET,New York City,NY, 
1453,81 BAXTER STREET,New York City,NY, 
1454,48 LUDLOW STREET,New York City,NY, 
1457,506 WEST 178 STREET,New York City,NY, 
1459,31 CROSBY STREET,New York City,NY, 
1463,260 WEST 135 STREET,New York City,NY, 
1465,195 BENNETT AVENUE,New York City,NY, 
1467,323 EAST 12 STREET,New York City,NY, 
1471,80 DELANCEY STREET,New York City,NY, 
1473,243 WEST 113 STREET,New York City,NY, 
1474,347 EAST 33 STREET,New York City,NY, 
1475,44 WEST 14 STREET,New York City,NY, 
1479,235 WEST 146 STREET,New York City,NY, 
1482,140 RIVERSIDE BOULEVARD,New York City,NY, 
1485,115 WEST 137 STREET,New York City,NY, 
1486,160 WEST 142 STREET,New York City,NY, 
1488,29 AVENUE C,New York City,NY, 
1490,1636 LEXINGTON AVENUE,New York City,NY, 
1495,1274 5 AVENUE,New York City,NY, 
1496,131 RIVINGTON STREET,New York City,NY, 
1500,840A 9 AVENUE,New York City,NY, 
1501,415 WEST 24 STREET,New York City,NY, 
1502,309 5 AVENUE,New York City,NY, 
1503,181 WEST 97 STREET,New York City,NY, 
1504,350 EAST 65 STREET,New York City,NY, 
1506,223 2 AVENUE,New York City,NY, 
1507,212 EAST 119 STREET,New York City,NY, 
1510,453 WEST 37 STREET,New York City,NY, 
1511,324 WEST 30 STREET,New York City,NY, 
1512,311 WEST 111 STREET,New York City,NY, 
1514,211 EAST 10 STREET,New York City,NY, 
1515,226 EAST 53 STREET,New York City,NY, 
1518,52 IRVING PLACE,New York City,NY, 
1520,870 ST NICHOLAS AVENUE,New York City,NY, 
1521,241 CENTRAL PARK WEST,New York City,NY, 
1522,312 WEST 15 STREET,New York City,NY, 
1523,53 ST NICHOLAS AVENUE,New York City,NY, 
1526,50 NORFOLK STREET,New York City,NY, 
1529,33 ESSEX STREET,New York City,NY, 
1531,229 WEST 26 STREET,New York City,NY, 
1534,352 WEST 37 STREET,New York City,NY, 
1536,1809 AMSTERDAM AVENUE,New York City,NY, 
1537,166 EAST 119 STREET,New York City,NY, 
1539,1941 ADAM C POWELL BOULEV,New York City,NY, 
1543,39 MADISON STREET,New York City,NY, 
1545,336 EAST 90 STREET,New York City,NY, 
1548,226 EAST 119 STREET,New York City,NY, 
1549,257 WEST 111 STREET,New York City,NY, 
1552,67 EAST 2 STREET,New York City,NY, 
1559,17 CLEVELAND PLACE,New York City,NY, 
1561,175 EAST 101 STREET,New York City,NY, 
1564,70 WEST 93 STREET,New York City,NY, 
1565,80 RUTGERS SLIP,New York City,NY, 
1567,1795 AMSTERDAM AVENUE,New York City,NY, 
1569,80 MORNINGSIDE DRIVE,New York City,NY, 
1573,206 EAST 17 STREET,New York City,NY, 
1578,1245 PARK AVENUE,New York City,NY, 
1584,231 EAST 24 STREET,New York City,NY, 
1588,115 LEXINGTON AVENUE,New York City,NY, 
1592,107 EAST 126 STREET,New York City,NY, 
1594,602 COLUMBUS AVENUE,New York City,NY, 
1595,184 LEXINGTON AVENUE,New York City,NY, 
1599,225 EAST 10 STREET,New York City,NY, 
1600,777 AVENUE OF THE AMERICA,New York City,NY, 
1604,313 WEST 30 STREET,New York City,NY, 
1605,180 RIVERSIDE BOULEVARD,New York City,NY, 
1607,1 AUDUBON AVENUE,New York City,NY, 
1608,280 WEST 113 STREET,New York City,NY, 
1609,524 EAST 88 STREET,New York City,NY, 
1610,145 EAST 22 STREET,New York City,NY, 
1611,1424 2 AVENUE,New York City,NY, 
1612,305 WEST 114 STREET,New York City,NY, 
1617,45 ST JAMES PLACE,New York City,NY, 
1619,420 EAST 54 STREET,New York City,NY, 
1622,311 WEST 141 STREET,New York City,NY, 
1624,267 EDGECOMBE AVENUE,New York City,NY, 
1625,609 WEST 151 STREET,New York City,NY, 
1629,1672 PARK AVENUE,New York City,NY, 
1632,1201 2 AVENUE,New York City,NY, 
1636,421 EAST 60 STREET,New York City,NY, 
1637,354 WEST 34 STREET,New York City,NY, 
1638,81 BLEECKER STREET,New York City,NY, 
1641,315 WEST 57 STREET,New York City,NY, 
1643,611 WEST 152 STREET,New York City,NY, 
1645,3801 HUDSON MANOR TERRACE,New York City,NY, 
1647,1632 HUTCH RIVER PARKWAY,New York City,NY, 
1648,660 THWAITES PLACE,New York City,NY, 
1649,270 LONGSTREET AVENUE,New York City,NY, 
1651,6629 BROADWAY,New York City,NY, 
1652,1221 WHITE PLAINS ROAD,New York City,NY, 
1653,1564 TAYLOR AVENUE,New York City,NY, 
1654,2600 NETHERLAND AVENUE,New York City,NY, 
1655,920 THIERIOT AVENUE,New York City,NY, 
1656,1955 WILLIAMSBRIDGE ROAD,New York City,NY, 
1657,2675 HENRY HUDSON PARKWAY,New York City,NY, 
1658,3205 OXFORD AVENUE,New York City,NY, 
1660,520 ROSEDALE AVENUE,New York City,NY, 
1661,539 COMMONWEALTH AVENUE,New York City,NY, 
1664,185 EAST 206 STREET,New York City,NY, 
1665,215 WEST 242 STREET,New York City,NY, 
1666,3660 OXFORD AVENUE,New York City,NY, 
1667,3900 GREYSTONE AVENUE,New York City,NY, 
1668,1150 GARRISON AVENUE,New York City,NY, 
1669,2767 MORRIS AVENUE,New York City,NY, 
1670,673 DAWSON STREET,New York City,NY, 
1671,2386 GRAND AVENUE,New York City,NY, 
1672,831 HOME STREET,New York City,NY, 
